#             x             U_x             U_y             U_z               k             nut           omega
    0.017466098       5.4062619    0.0089689043  -2.1327252e-22     0.038429772   0.00018473961       208.02128
    0.017708234       5.4063015    0.0089878544  -5.1088947e-23     0.038397582   0.00018472721         207.861
    0.017952896       5.4063417    0.0090068782  -6.0556076e-23      0.03836511   0.00018471468       207.69929
    0.018200108       5.4063823     0.009025974  -4.1416431e-23     0.038332353   0.00018470204       207.53616
      0.0184499       5.4064234    0.0090451398   1.7456983e-22     0.038299309   0.00018468927       207.37159
    0.018702296        5.406465    0.0090643737   1.8491938e-22     0.038265976   0.00018467638       207.20557
    0.018957324       5.4065071    0.0090836738   1.7717539e-22     0.038232352   0.00018466337       207.03808
    0.019215012       5.4065498    0.0091030378   5.3629517e-23     0.038198435   0.00018465024       206.86913
    0.019475387       5.4065929    0.0091224637  -2.6571218e-22     0.038164224   0.00018463698       206.69869
    0.019738478       5.4066365    0.0091419491  -2.7882939e-22     0.038129716   0.00018462359       206.52677
    0.020004313       5.4066807    0.0091614919  -8.4888304e-23     0.038094909   0.00018461008       206.35334
     0.02027292       5.4067254    0.0091810897    2.853934e-23     0.038059801   0.00018459644        206.1784
    0.020544328       5.4067707    0.0092007398   6.7738259e-23      0.03802439   0.00018458267       206.00194
    0.020818567       5.4068164    0.0092204399   9.8225682e-23     0.037988675   0.00018456877       205.82395
    0.021095666       5.4068628    0.0092401873   6.1523728e-23     0.037952652   0.00018455474       205.64441
    0.021375655       5.4069096    0.0092599793   1.1776279e-24     0.037916321   0.00018454057       205.46333
    0.021658563       5.4069571    0.0092798132   4.8409572e-23     0.037879679   0.00018452628       205.28067
    0.021944423       5.4070051     0.009299686  -4.8559193e-23     0.037842725   0.00018451184       205.09645
    0.022233263       5.4070536    0.0093195949  -2.2624681e-22     0.037805455   0.00018449727       204.91064
    0.022525116       5.4071028    0.0093395367   3.8290018e-23     0.037767869   0.00018448257       204.72323
    0.022820012       5.4071525    0.0093595085   3.6330144e-22     0.037729964   0.00018446772       204.53422
    0.023117984       5.4072029    0.0093795069   -4.762365e-23     0.037691738   0.00018445274        204.3436
    0.023419063       5.4072538    0.0093995288  -4.6258234e-22     0.037653189   0.00018443761       204.15135
    0.023723283       5.4073053    0.0094195706  -6.5631741e-23     0.037614315   0.00018442234       203.95746
    0.024030675       5.4073574    0.0094396289   1.7964077e-22     0.037575114   0.00018440693       203.76193
    0.024341273       5.4074102    0.0094597002   3.2964593e-23     0.037535585   0.00018439138       203.56474
     0.02465511       5.4074636    0.0094797807   2.0917158e-23     0.037495725   0.00018437568       203.36588
     0.02497222       5.4075176    0.0094998668   9.9136023e-24     0.037455531   0.00018435983       203.16535
    0.025292637       5.4075722    0.0095199546   2.5929304e-22     0.037415003   0.00018434384       202.96313
    0.025616396       5.4076275      0.00954004   2.7388363e-22     0.037374139    0.0001843277        202.7592
    0.025943531       5.4076834    0.0095601191  -2.1984629e-22     0.037332935    0.0001843114       202.55357
    0.026274078         5.40774    0.0095801876  -3.0504596e-22     0.037291391   0.00018429496       202.34623
    0.026608073       5.4077972    0.0096002413  -9.8818521e-23     0.037249503   0.00018427836       202.13715
     0.02694555       5.4078551    0.0096202758  -7.4174722e-23     0.037207272   0.00018426161       201.92633
    0.027286547       5.4079137    0.0096402866  -1.7894299e-22     0.037164693    0.0001842447       201.71376
      0.0276311        5.407973    0.0096602692  -1.1753945e-22     0.037121766   0.00018422764       201.49943
    0.027979247       5.4080329     0.009680219   8.4464846e-23     0.037078488   0.00018421042       201.28333
    0.028331025       5.4080935     0.009700131   3.3719443e-22     0.037034857   0.00018419304       201.06545
    0.028686471       5.4081549    0.0097200006   5.6004994e-22     0.036990872    0.0001841755       200.84578
    0.029045624       5.4082169    0.0097398226   3.3672084e-22     0.036946531   0.00018415779        200.6243
    0.029408522       5.4082797     0.009759592   1.3355525e-22     0.036901831   0.00018413993       200.40102
    0.029775206       5.4083432    0.0097793035   7.6185561e-23     0.036856771    0.0001841219       200.17591
    0.030145713       5.4084074     0.009798952  -3.1628249e-22     0.036811349   0.00018410371       199.94897
    0.030520085       5.4084723    0.0098185319  -5.9909013e-22     0.036765562   0.00018408535       199.72019
     0.03089836        5.408538    0.0098380379  -2.8879592e-22      0.03671941   0.00018406682       199.48955
    0.031280581       5.4086044    0.0098574642    1.754245e-22     0.036672889   0.00018404812       199.25706
    0.031666788       5.4086715    0.0098768053   8.1054433e-23     0.036625999   0.00018402925       199.02269
    0.032057023       5.4087395    0.0098960553  -1.7673638e-22     0.036578737   0.00018401021       198.78644
    0.032451328       5.4088082    0.0099152082  -1.7541987e-23     0.036531102     0.000183991        198.5483
    0.032849744       5.4088776     0.009934258   9.2406034e-23     0.036483091   0.00018397161       198.30826
    0.033252316       5.4089479    0.0099531986  -8.9770544e-23     0.036434703   0.00018395204        198.0663
    0.033659086       5.4090189    0.0099720236  -1.3491845e-22     0.036385936    0.0001839323       197.82242
    0.034070098       5.4090907    0.0099907268   9.2485499e-23     0.036336788   0.00018391238       197.57662
    0.034485397       5.4091633     0.010009302   1.2523516e-22     0.036287258   0.00018389228       197.32887
    0.034905027       5.4092367     0.010027742  -7.6594141e-23     0.036237343     0.000183872       197.07917
    0.035329034       5.4093109      0.01004604  -8.1126224e-23     0.036187042   0.00018385153       196.82751
    0.035757462        5.409386      0.01006419   1.8014977e-22     0.036136354   0.00018383088       196.57389
    0.036190358       5.4094618     0.010082185   3.0511633e-22     0.036085275   0.00018381005       196.31828
    0.036627769       5.4095385     0.010100018   7.5511134e-23     0.036033805   0.00018378902       196.06069
    0.037069742        5.409616     0.010117681  -1.6414717e-22     0.035981942   0.00018376781        195.8011
    0.037516324       5.4096944     0.010135168  -2.2911625e-22     0.035929685   0.00018374641        195.5395
    0.037967563       5.4097736      0.01015247  -4.4286702e-23     0.035877031   0.00018372482       195.27589
    0.038423508       5.4098536     0.010169582   1.2462995e-22     0.035823979   0.00018370304       195.01025
    0.038884209       5.4099345     0.010186495  -7.1870221e-23     0.035770527   0.00018368106       194.74258
    0.039349714       5.4100163     0.010203202  -3.1001948e-23     0.035716674   0.00018365888       194.47287
    0.039820074       5.4100989     0.010219695   3.0738069e-22     0.035662417   0.00018363651       194.20111
    0.040295339       5.4101824     0.010235967   9.2569248e-23     0.035607757   0.00018361394       193.92729
    0.040775561       5.4102668     0.010252009  -2.4600968e-22      0.03555269   0.00018359117        193.6514
    0.041260791        5.410352     0.010267814     4.16115e-23     0.035497216    0.0001835682       193.37343
    0.041751081       5.4104382     0.010283375   3.6971812e-22     0.035441333   0.00018354503       193.09337
    0.042246485       5.4105252     0.010298682   7.8716233e-23     0.035385039   0.00018352165       192.81123
    0.042747055       5.4106131     0.010313728  -4.6898534e-22     0.035328333   0.00018349807       192.52698
    0.043252845        5.410702     0.010328505  -3.6861666e-22     0.035271213   0.00018347428       192.24062
    0.043763911       5.4107917     0.010343005   1.0989009e-22     0.035213679   0.00018345028       191.95215
    0.044280306       5.4108824      0.01035722    7.858027e-23     0.035155728   0.00018342607       191.66154
    0.044802087        5.410974      0.01037114  -4.7365586e-24     0.035097359   0.00018340165       191.36881
    0.045329309       5.4110665     0.010384759   9.9731429e-23     0.035038572   0.00018337702       191.07393
     0.04586203       5.4111599     0.010398066    4.242754e-23     0.034979364   0.00018335217       190.77691
    0.046400307       5.4112542     0.010411055   7.6659461e-23     0.034919734   0.00018332711       190.47773
    0.046944197       5.4113495     0.010423716    1.177168e-22     0.034859682   0.00018330183       190.17638
     0.04749376       5.4114457     0.010436041  -8.9863331e-23     0.034799205   0.00018327633       189.87287
    0.048049054       5.4115429     0.010448021  -2.0441796e-22     0.034738303    0.0001832506       189.56717
    0.048610139        5.411641     0.010459648  -1.0695516e-22     0.034676974   0.00018322466        189.2593
    0.049177075       5.4117401     0.010470913  -2.1930969e-22     0.034615218   0.00018319849       188.94923
    0.049749924       5.4118401     0.010481808  -2.1714055e-22     0.034553033    0.0001831721       188.63696
    0.050328748        5.411941     0.010492323   1.5362256e-22     0.034490418   0.00018314549       188.32249
    0.050913608        5.412043      0.01050245   4.1228042e-23     0.034427372   0.00018311864       188.00581
    0.051504567       5.4121458     0.010512181  -3.1921041e-22     0.034363895   0.00018309156       187.68691
    0.052101689       5.4122497     0.010521506   1.2875796e-22     0.034299984   0.00018306426       187.36579
