#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0036633356      0.14818212      0.10369446               0    -0.054694255     -0.14831025               0               0               0               0       5.4042569    0.0077460588               0   2.3451833e-06      0.01487343       1.0598534
   0.0037615229      0.14846775      0.10329833               0    -0.054882694      -0.1485024               0               0               0               0       5.4042714    0.0077562185               0   2.3447201e-06     0.014854199       1.0572241
   0.0038607342      0.14879818      0.10291733               0    -0.055073425     -0.14869621               0               0               0               0       5.4042862    0.0077664456               0   2.3442527e-06     0.014834816       1.0545771
   0.0039609802      0.14898104      0.10255385               0     -0.05526473     -0.14889168               0               0               0               0       5.4043011    0.0077767419               0   2.3437812e-06     0.014815281       1.0519124
   0.0040622717      0.14918579      0.10221013               0    -0.055460717     -0.14908879               0               0               0               0       5.4043162    0.0077871098               0   2.3433054e-06     0.014795591       1.0492301
   0.0041646195      0.14933022      0.10188768               0    -0.055658992     -0.14928754               0               0               0               0       5.4043315    0.0077975517               0   2.3428253e-06     0.014775748       1.0465301
   0.0042680347      0.14941138       0.1015877               0    -0.055856607     -0.14948791               0               0               0               0       5.4043469    0.0078080703               0   2.3423409e-06     0.014755749       1.0438123
   0.0043725284      0.14963521      0.10131188               0    -0.056056612     -0.14968987               0               0               0               0       5.4043625    0.0078186684               0   2.3418522e-06     0.014735594       1.0410769
   0.0044781119      0.14988199      0.10106147               0    -0.056260651     -0.14989339               0               0               0               0       5.4043784    0.0078293493               0   2.3413591e-06     0.014715283       1.0383236
   0.0045847965      0.15006552      0.10083682               0    -0.056466319     -0.15009845               0               0               0               0       5.4043944    0.0078401163               0   2.3408616e-06     0.014694815       1.0355526
   0.0046925938      0.15028705      0.10063782               0    -0.056674671     -0.15030501               0               0               0               0       5.4044105    0.0078509728               0   2.3403597e-06     0.014674189       1.0327638
   0.0048015152      0.15047219      0.10046419               0    -0.056886103     -0.15051304               0               0               0               0       5.4044269    0.0078619222               0   2.3398534e-06     0.014653404       1.0299571
   0.0049115726      0.15065223      0.10031548               0    -0.057098869     -0.15072251               0               0               0               0       5.4044435    0.0078729681               0   2.3393426e-06      0.01463246       1.0271326
   0.0050227778      0.15094159      0.10019063               0    -0.057314193      -0.1509334               0               0               0               0       5.4044603    0.0078841141               0   2.3388272e-06     0.014611356       1.0242904
   0.0051351427      0.15124898      0.10008793               0    -0.057530894     -0.15114565               0               0               0               0       5.4044772    0.0078953636               0   2.3383074e-06     0.014590091       1.0214303
   0.0052486795       0.1514252       0.1000057               0    -0.057750396     -0.15135923               0               0               0               0       5.4044944      0.00790672               0   2.3377829e-06     0.014568664       1.0185523
   0.0053634003      0.15152587      0.09994236               0    -0.057972231     -0.15157413               0               0               0               0       5.4045118    0.0079181866               0   2.3372537e-06     0.014547075       1.0156565
   0.0054793176      0.15180465     0.099895985               0    -0.058197282     -0.15179029               0               0               0               0       5.4045294    0.0079297664               0     2.33672e-06     0.014525324       1.0127429
   0.0055964437      0.15213425     0.099864096               0    -0.058425132     -0.15200769               0               0               0               0       5.4045472    0.0079414625               0   2.3361815e-06     0.014503409       1.0098114
   0.0057147914      0.15231972     0.099844293               0    -0.058654637     -0.15222629               0               0               0               0       5.4045652    0.0079532777               0   2.3356384e-06      0.01448133       1.0068621
   0.0058343733      0.15243222     0.099834516               0    -0.058888783     -0.15244606               0               0               0               0       5.4045834    0.0079652143               0   2.3350905e-06     0.014459087        1.003895
   0.0059552024      0.15255632     0.099832298               0     -0.05912402       -0.152667               0               0               0               0       5.4046018    0.0079772749               0   2.3345378e-06     0.014436678       1.0009101
   0.0060772915      0.15284888     0.099834984               0    -0.059362101     -0.15288905               0               0               0               0       5.4046205    0.0079894613               0   2.3339803e-06     0.014414102      0.99790731
    0.006200654      0.15320755     0.099840549               0    -0.059603558     -0.15311221               0               0               0               0       5.4046393    0.0080017754               0   2.3334179e-06     0.014391361      0.99488678
   0.0063253029      0.15335911     0.099846891               0    -0.059846344     -0.15333644               0               0               0               0       5.4046585    0.0080142188               0   2.3328506e-06     0.014368452      0.99184846
   0.0064512519      0.15343884      0.09985167               0    -0.060091816     -0.15356175               0               0               0               0       5.4046778    0.0080267927               0   2.3322785e-06     0.014345375      0.98879239
   0.0065785143       0.1537148     0.099852886               0    -0.060342252     -0.15378811               0               0               0               0       5.4046973    0.0080394982               0   2.3317013e-06      0.01432213      0.98571859
    0.006707104      0.15404823     0.099848715               0    -0.060595735     -0.15401549               0               0               0               0       5.4047171    0.0080523361               0   2.3311192e-06     0.014298716      0.98262708
   0.0068370347      0.15429152      0.09983765               0    -0.060848472     -0.15424391               0               0               0               0       5.4047371    0.0080653069               0   2.3305321e-06     0.014275132      0.97951787
   0.0069683205      0.15447114     0.099818237               0    -0.061104335     -0.15447335               0               0               0               0       5.4047574     0.008078411               0   2.3299399e-06     0.014251378      0.97639101
   0.0071009754      0.15461539     0.099788985               0    -0.061364451     -0.15470379               0               0               0               0       5.4047779    0.0080916487               0   2.3293426e-06     0.014227454      0.97324653
