#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
    0.017245391     0.057501683    -0.016101703               0      0.84841109    -0.057500308               0               0               0               0       5.4616675     0.017401019               0     0.043127664    0.0014876633       29.045569
    0.018327656     0.064675926    -0.015860956               0      0.63600109    -0.064675563               0               0               0               0       5.4624533     0.017334329               0     0.043108031    0.0015776561       27.363102
    0.019476565     0.070876284    -0.015633403               0      0.46179725    -0.070873719               0               0               0               0       5.4630693     0.017255942               0     0.043074325    0.0016589673       25.991512
     0.02069622     0.076304665    -0.015414014               0       0.3171184    -0.076301366               0               0               0               0       5.4635318     0.017165714               0     0.043025881    0.0017306361       24.879482
    0.021990978     0.081112958    -0.015198772               0      0.19560405    -0.081107698               0               0               0               0       5.4638529     0.017063361               0     0.042962834    0.0017920318       23.986197
    0.023365464     0.085411299    -0.014984652               0     0.092626965    -0.085406388               0               0               0               0       5.4640414     0.016948499               0     0.042886109    0.0018429149       23.278163
    0.024824587      0.08929183    -0.014768207               0    0.0048170688    -0.089292165               0               0               0               0       5.4641039     0.016820635               0     0.042797428    0.0018834729       22.726941
    0.026373559     0.092813251    -0.014547743               0     -0.07025021    -0.092817321               0               0               0               0       5.4640453     0.016679177               0     0.042699297    0.0019143219       22.307549
    0.028017912     0.096003669    -0.014322304               0     -0.13421873    -0.096007729               0               0               0               0       5.4638697     0.016523511               0     0.042594955    0.0019364623       21.997454
     0.02976352     0.098883119    -0.014090883               0     -0.18816973    -0.098885368               0               0               0               0       5.4635812      0.01635298               0     0.042488228    0.0019511968        21.77599
    0.031616619      0.10145058    -0.013854264               0     -0.23283878     -0.10145104               0               0               0               0       5.4631842     0.016166912               0     0.042383273    0.0019600155       21.624139
    0.033583826      0.10369806     -0.01361343               0     -0.26880411     -0.10369592               0               0               0               0       5.4626842     0.015964666               0     0.042284218    0.0019644473        21.52479
    0.035672168      0.10561707    -0.013369883               0     -0.29663178     -0.10561572               0               0               0               0       5.4620875     0.015745632               0     0.042194713    0.0019659155       21.463138
    0.037889105      0.10721006    -0.013125114               0      -0.3169736     -0.10721264               0               0               0               0       5.4614015     0.015509235               0     0.042117497     0.001965627       21.426994
    0.040242556      0.10850006    -0.012879857               0     -0.33060724     -0.10850237               0               0               0               0       5.4606342     0.015254916               0     0.042054071    0.0019645022       21.406977
    0.042740925      0.10951303    -0.012633817               0     -0.33841369     -0.10951575               0               0               0               0       5.4597938     0.014982102               0     0.042004567    0.0019631589        21.39641
    0.045393137      0.11029458    -0.012385432               0     -0.34132675     -0.11029626               0               0               0               0       5.4588885     0.014690157               0     0.041967876    0.0019619456       21.390943
    0.048208665      0.11089427    -0.012131891               0     -0.34023541     -0.11089371               0               0               0               0       5.4579258     0.014378345               0      0.04194199    0.0019610058       21.387995
    0.051197566      0.11135769    -0.011869587               0     -0.33588943     -0.11135711               0               0               0               0       5.4569127     0.014045793               0     0.041924465    0.0019603525       21.386183
    0.054370516      0.11172586    -0.011594637               0     -0.32886694     -0.11172798               0               0               0               0       5.4558559     0.013691475               0      0.04191288    0.0019599345       21.384834
    0.057738847       0.1120329    -0.011303407               0      -0.3195869     -0.11203629               0               0               0               0        5.454762     0.013314221               0      0.04190517     0.001959683       21.383645
    0.061314592       0.1122979    -0.010992708               0     -0.30835576     -0.11230061               0               0               0               0       5.4536379     0.012912728               0     0.041899795    0.0019595393        21.38247
     0.06511052      0.11253033    -0.010659979               0     -0.29540722      -0.1125308               0               0               0               0       5.4524909     0.012485583               0     0.041895748     0.001959466       21.381205
    0.069140193      0.11273171    -0.010303061               0     -0.28094487     -0.11273174               0               0               0               0        5.451329     0.012031273               0     0.041892454      0.00195945       21.379698
    0.073418001      0.11290199   -0.0099198663               0     -0.26518644     -0.11290646               0               0               0               0       5.4501606     0.011548191               0     0.041889649    0.0019595042       21.377675
    0.077959226      0.11305426   -0.0095084727               0      -0.2483716     -0.11305793               0               0               0               0       5.4489947     0.011034628               0     0.041887261     0.001959672       21.374628
    0.082780087        0.113189   -0.0090667322               0     -0.23074564     -0.11318982               0               0               0               0       5.4478405     0.010488765               0     0.041885333    0.0019600306       21.369734
    0.087897803      0.11330671   -0.0085923293               0     -0.21254549     -0.11330637               0               0               0               0       5.4467074    0.0099086624               0     0.041883954    0.0019606824       21.361929
    0.093330656      0.11341342   -0.0080829165               0     -0.19399157     -0.11341177               0               0               0               0       5.4456048     0.009292243               0     0.041883212    0.0019617208       21.350246
