#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   0.0048015152      0.13867907     0.081507796               0    -0.052138763     -0.13878509               0               0               0               0        5.404129    0.0075992762               0     0.046619539    0.0019952094       23.365738
   0.0049115726      0.13885135     0.081612832               0    -0.052337965     -0.13894888               0               0               0               0       5.4041443     0.007608251               0     0.046617546    0.0019951967       23.364888
   0.0050227778      0.13913343     0.081718167               0    -0.052539166     -0.13911422               0               0               0               0       5.4041597    0.0076173312               0     0.046615532    0.0019951839       23.364029
   0.0051351427      0.13935922     0.081823362               0    -0.052740659     -0.13928111               0               0               0               0       5.4041754    0.0076265179               0     0.046613498    0.0019951709       23.363161
   0.0052486795      0.13949225     0.081927874               0    -0.052944991     -0.13944957               0               0               0               0       5.4041912    0.0076358123               0     0.046611442    0.0019951578       23.362283
   0.0053634003      0.13966178     0.082031543               0     -0.05315338      -0.1396196               0               0               0               0       5.4042072    0.0076452155               0     0.046609365    0.0019951446       23.361397
   0.0054793176      0.13976105     0.082134132               0     -0.05336344      -0.1397912               0               0               0               0       5.4042234    0.0076547289               0     0.046607267    0.0019951313       23.360502
   0.0055964437      0.13987766     0.082235141               0    -0.053575459     -0.13996439               0               0               0               0       5.4042398    0.0076643533               0     0.046605147    0.0019951178       23.359597
   0.0057147914      0.14015072     0.082334291               0    -0.053790783     -0.14013916               0               0               0               0       5.4042563      0.00767409               0     0.046603005    0.0019951041       23.358683
   0.0058343733      0.14035453     0.082431375               0    -0.054007645     -0.14031552               0               0               0               0       5.4042731      0.00768394               0     0.046600841    0.0019950904        23.35776
   0.0059552024      0.14046949      0.08252614               0    -0.054227721     -0.14049347               0               0               0               0       5.4042901    0.0076939043               0     0.046598654    0.0019950764       23.356827
   0.0060772915      0.14068382     0.082618403               0    -0.054451394     -0.14067301               0               0               0               0       5.4043072     0.007703984               0     0.046596445    0.0019950624       23.355884
    0.006200654      0.14088118     0.082707857               0    -0.054675644     -0.14085416               0               0               0               0       5.4043246    0.0077141799               0     0.046594214    0.0019950482       23.354932
   0.0063253029      0.14104255     0.082794132               0    -0.054903774     -0.14103691               0               0               0               0       5.4043422    0.0077244932               0     0.046591959    0.0019950338        23.35397
   0.0064512519      0.14121589      0.08287701               0    -0.055133917     -0.14122126               0               0               0               0       5.4043599    0.0077349247               0     0.046589681    0.0019950193       23.352998
   0.0065785143      0.14137077     0.082956345               0    -0.055365197     -0.14140721               0               0               0               0       5.4043779    0.0077454753               0     0.046587379    0.0019950046       23.352016
    0.006707104      0.14156018     0.083032032               0    -0.055601438     -0.14159476               0               0               0               0       5.4043961     0.007756146               0     0.046585053    0.0019949898       23.351023
   0.0068370347      0.14182554     0.083103764               0    -0.055841133     -0.14178392               0               0               0               0       5.4044145    0.0077669375               0     0.046582704    0.0019949749       23.350021
   0.0069683205      0.14210021     0.083171201               0    -0.056083627     -0.14197467               0               0               0               0       5.4044332    0.0077778507               0      0.04658033    0.0019949598       23.349008
   0.0071009754      0.14218255     0.083234363               0    -0.056327374     -0.14216703               0               0               0               0        5.404452    0.0077888863               0     0.046577932    0.0019949445       23.347985
   0.0072350138      0.14226232      0.08329313               0    -0.056574379     -0.14236099               0               0               0               0       5.4044711    0.0078000453               0     0.046575509    0.0019949291       23.346951
   0.0073704501      0.14255545     0.083347096               0    -0.056826023     -0.14255655               0               0               0               0       5.4044904    0.0078113282               0     0.046573061    0.0019949135       23.345906
   0.0075072989      0.14285682      0.08339622               0    -0.057078921     -0.14275369               0               0               0               0       5.4045099    0.0078227359               0     0.046570588    0.0019948977        23.34485
   0.0076455748      0.14303373     0.083440517               0    -0.057333191     -0.14295243               0               0               0               0       5.4045297     0.007834269               0     0.046568089    0.0019948818       23.343784
   0.0077852928      0.14313285     0.083479687               0    -0.057591346     -0.14315275               0               0               0               0       5.4045496    0.0078459283               0     0.046565564    0.0019948657       23.342707
    0.007926468       0.1433014     0.083513547               0    -0.057853673     -0.14335465               0               0               0               0       5.4045699    0.0078577143               0     0.046563014    0.0019948495       23.341618
   0.0080691154      0.14350955     0.083541996               0    -0.058118132     -0.14355813               0               0               0               0       5.4045903    0.0078696276               0     0.046560437    0.0019948331       23.340519
   0.0082132505      0.14369752     0.083564885               0     -0.05838448     -0.14376317               0               0               0               0        5.404611    0.0078816689               0     0.046557833    0.0019948165       23.339407
   0.0083588888      0.14393855     0.083582155               0     -0.05865551     -0.14396978               0               0               0               0       5.4046319    0.0078938387               0     0.046555203    0.0019947997       23.338285
    0.008506046      0.14416063     0.083593696               0    -0.058929908     -0.14417794               0               0               0               0       5.4046531    0.0079061376               0     0.046552546    0.0019947828       23.337151
   0.0086547378      0.14436148     0.083599367               0     -0.05920768     -0.14438764               0               0               0               0       5.4046746     0.007918566               0     0.046549861    0.0019947657       23.336005
   0.0088049804      0.14463765     0.083599128               0     -0.05948935     -0.14459888               0               0               0               0       5.4046963    0.0079311245               0     0.046547148    0.0019947484       23.334847
   0.0089567898      0.14489472     0.083592878               0    -0.059773352     -0.14481165               0               0               0               0       5.4047183    0.0079438134               0     0.046544407    0.0019947309       23.333678
   0.0091101825       0.1450375     0.083580495               0    -0.060059765     -0.14502594               0               0               0               0       5.4047405    0.0079566332               0     0.046541639    0.0019947133       23.332496
   0.0092651749      0.14520013     0.083561876               0    -0.060349902     -0.14524173               0               0               0               0        5.404763    0.0079695844               0     0.046538842    0.0019946955       23.331302
   0.0094217836      0.14543617     0.083536926               0    -0.060642843     -0.14545901               0               0               0               0       5.4047858    0.0079826672               0     0.046536016    0.0019946774       23.330096
   0.0095800257      0.14569123     0.083505641               0    -0.060939879     -0.14567778               0               0               0               0       5.4048088     0.007995882               0      0.04653316    0.0019946592       23.328877
