#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   0.0076455748               0            0.05      -8.3301972  -0.00047206297               0       12505.279       1.4666896               0               0               0               0               0               0               0               0   4.7350188e-07      0.13733793
   0.0077852928               0            0.05      -8.1059666  -0.00045137747               0       12392.419       1.4274935               0               0               0               0               0               0               0               0   4.5793904e-07      0.13282397
    0.007926468               0            0.05      -7.8893888  -0.00043177272               0       12281.439       1.3896232               0               0               0               0               0               0               0               0   4.4295632e-07      0.12847827
   0.0080691154               0            0.05      -7.6801148   -0.0004131545               0       12172.287       1.3530178               0               0               0               0               0               0               0               0   4.2852845e-07      0.12429351
   0.0082132505               0            0.05      -7.4778752  -0.00039535057               0       12064.911       1.3176271               0               0               0               0               0               0               0               0   4.1463155e-07      0.12026275
   0.0083588888               0            0.05       -7.282408  -0.00037831661               0       11959.261       1.2834163               0               0               0               0               0               0               0               0   4.0124293e-07      0.11637942
    0.008506046               0            0.05      -7.0934244  -0.00036215466               0       11855.289       1.2503401               0               0               0               0               0               0               0               0   3.8834101e-07      0.11263725
   0.0086547378               0            0.05      -6.9106442  -0.00034683695               0       11752.948       1.2183421               0               0               0               0               0               0               0               0   3.7590518e-07      0.10903027
   0.0088049804               0            0.05      -6.7337953  -0.00033230834               0       11652.196       1.1873779               0               0               0               0               0               0               0               0   3.6391575e-07      0.10555277
   0.0089567898               0            0.05      -6.5626461  -0.00031851394               0       11552.988       1.1573973               0               0               0               0               0               0               0               0   3.5235396e-07       0.1021993
   0.0091101825               0            0.05      -6.3969719  -0.00030539404               0       11455.285       1.1283622               0               0               0               0               0               0               0               0   3.4120198e-07       0.0989647
   0.0092651749               0            0.05      -6.2365222  -0.00029291215               0       11359.047       1.1002304               0               0               0               0               0               0               0               0   3.3044287e-07      0.09584405
   0.0094217836               0            0.05      -6.0810222  -0.00028101878               0       11264.236       1.0729673               0               0               0               0               0               0               0               0   3.2006059e-07     0.092832699
   0.0095800257               0            0.05       -5.930362   -0.0002696337               0       11170.817       1.0465374               0               0               0               0               0               0               0               0   3.1003994e-07     0.089926235
   0.0097399181               0            0.05      -5.7843426  -0.00025873671               0       11078.755       1.0209188               0               0               0               0               0               0               0               0   3.0036647e-07     0.087120473
    0.009901478               0            0.05       -5.642768  -0.00024830713               0       10988.016      0.99607777               0               0               0               0               0               0               0               0   2.9102646e-07      0.08441143
    0.010064723               0            0.05      -5.5055418  -0.00023834487               0       10898.567      0.97199402               0               0               0               0               0               0               0               0   2.8200681e-07     0.081795302
     0.01022967               0            0.05      -5.3724472  -0.00022888132               0       10810.377        0.948632               0               0               0               0               0               0               0               0   2.7329495e-07     0.079268454
    0.010396337               0            0.05      -5.2433341  -0.00021987692               0       10723.415      0.92596244               0               0               0               0               0               0               0               0   2.6487889e-07     0.076827398
    0.010564743               0            0.05      -5.1180274  -0.00021129466               0       10637.651      0.90395542               0               0               0               0               0               0               0               0   2.5674712e-07     0.074468799
    0.010734905               0            0.05      -4.9963859  -0.00020308832               0       10553.058      0.88258683               0               0               0               0               0               0               0               0   2.4888861e-07     0.072189461
    0.010906842               0            0.05      -4.8782727  -0.00019523941               0       10469.608      0.86183423               0               0               0               0               0               0               0               0   2.4129287e-07     0.069986336
