#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
 -3.1947465e-05      0.13830143      0.11515371   2.2657784e-18    -0.048643393      -0.1384658   6.2214985e-21  -9.4530907e-19  -8.2858368e-19   1.9701891e-35       5.4036615    0.0073783437   -4.402207e-23     0.097574686     0.041012898   0.00015951734       20.436331
  2.9991242e-05      0.13842857      0.11503333   1.5478195e-18    -0.048763043     -0.13859476   8.7172886e-21    4.584536e-18   3.7461439e-18   4.1356587e-36       5.4036703    0.0073856238   1.1968788e-22     0.097571889       0.0410059   0.00015950323       20.432537
  9.0286504e-05      0.13855084      0.11491807  -4.5563716e-19    -0.048878239     -0.13871872  -3.8445172e-21   5.8267658e-18   4.8215545e-18  -1.6035746e-36       5.4036787    0.0073926227   1.5387058e-22     0.097569195      0.04099916   0.00015948965       20.428883
  0.00015121058      0.13867378      0.11480315  -1.0203836e-18    -0.048993589      -0.1388426  -1.3824724e-20   2.3900886e-18    2.032467e-18   9.9000178e-35       5.4036871    0.0073996193   6.3248185e-23     0.097566498     0.040992416   0.00015947606       20.425228
  0.00021277004      0.13879851      0.11468707   -9.856513e-20     -0.04911024     -0.13896758    1.029634e-21   1.0760255e-18   9.0665904e-19  -1.9542496e-35       5.4036957    0.0074066818   3.0108008e-23     0.097563774     0.040985605   0.00015946232       20.421535
   0.0002749715      0.13892453      0.11456969  -7.1527127e-19    -0.049228205     -0.13909368   1.9650183e-20   1.8901278e-18   1.5432141e-18  -5.7767668e-35       5.4037043    0.0074138106   5.1977854e-23     0.097561022     0.040978725   0.00015944845       20.417806
  0.00033782165      0.13905159      0.11445094  -1.6026282e-18      -0.0493475      -0.1392209   6.2202595e-21  -2.1599546e-18  -1.7882071e-18   1.6499244e-34        5.403713    0.0074210064  -6.2649247e-23     0.097558242     0.040971777   0.00015943443       20.414039
  0.00040132727      0.13917976      0.11433083    2.301145e-19    -0.049468142     -0.13934926  -2.7070386e-20  -5.2520208e-18   -4.273452e-18   5.5750743e-35       5.4037219    0.0074282696  -1.5058399e-22     0.097555434     0.040964758   0.00015942028       20.410234
  0.00046549519      0.13930907      0.11420933   2.1471527e-18    -0.049590145     -0.13947876  -4.0079586e-20  -1.0373437e-18  -7.1305916e-19  -5.1208243e-35       5.4037308    0.0074356008  -2.9164952e-23     0.097552597      0.04095767   0.00015940598       20.406391
  0.00053033231      0.13943954      0.11408643   6.8992771e-19    -0.049713526      -0.1396094  -2.1388661e-20    4.324603e-18   3.6810373e-18     1.86796e-35       5.4037398    0.0074430006    1.274005e-22     0.097549731     0.040950511   0.00015939154        20.40251
