#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0027764954     -0.50975123     0.008777209   2.0227561e-21        311.4446      0.50913516   2.1563825e-19    5.168526e-15   7.4125734e-18  -4.3560278e-36       4.1045886    0.0010020672  -8.5807391e-23     0.098678831      0.22636805   0.00018847503       77.890382
   0.0029678048     -0.55209934    0.0093300593   4.8390831e-21       293.36838      0.55151839    4.431268e-19  -2.5489405e-15  -6.4509371e-18  -4.9144757e-36       4.1623151    0.0011042002    6.206304e-23      0.10036486      0.22512958   0.00019939263       73.244891
   0.0031708945     -0.59025812    0.0099267581    6.660275e-21       275.62956      0.58973327  -2.2589323e-19  -3.5021626e-15  -7.0543228e-18  -1.6987635e-36       4.2199687     0.001220817   7.4077105e-23      0.10116827      0.22350737   0.00021125594       68.898605
     0.00338649     -0.62362001     0.010562693   2.0243643e-21       258.11012      0.62316463  -3.7051128e-19   3.0461929e-15   8.3672855e-18  -9.6711303e-37       4.2773735     0.001352321  -5.1496393e-23      0.10099448      0.22148118   0.00022431111       64.821827
   0.0036153613     -0.65202883     0.011228712  -2.6120025e-21       240.81928      0.65164987   2.5101146e-20   5.0129908e-15   1.3279985e-17   9.0308929e-37       4.3343247    0.0014989561  -8.1201736e-23     0.099815419      0.21903659   0.00023875795       60.989205
   0.0038583258      -0.6758999     0.011909381  -2.7838576e-21       223.88006      0.67559521   2.0625334e-19   1.9908984e-15   5.2496537e-18   -5.759176e-37       4.3906142       0.0016609  -2.8675598e-23     0.097681584      0.21616538   0.00025470519       57.379145
   0.0041162514     -0.69624843     0.012581616  -2.7034485e-21       207.50085      0.69600445   1.4870443e-19  -2.3328331e-15  -8.4522927e-18  -3.9361715e-37       4.4460605    0.0018384119   2.1996984e-23      0.09472501      0.21286492   0.00027211961       53.973189
   0.0043900594     -0.71461544      0.01321398  -2.4868506e-22       191.93568      0.71440759  -1.3247704e-20  -4.0610481e-15  -1.4646234e-17   1.0611508e-37       4.5005358    0.0020320211   4.6573586e-23     0.091151172      0.20913657   0.00029077523        50.75534
   0.0046807278     -0.73290954     0.013766733   2.4815751e-21       177.44043       0.7327049  -1.0878532e-19  -4.6668297e-16  -9.9803015e-19  -5.8827564e-37       4.5539893    0.0022427328   7.9713523e-24     0.087219765      0.20498318   0.00031021284       47.711386
   0.0049892948     -0.75320398     0.014192637   1.0292103e-21       164.23319      0.75295892   -1.432228e-20   1.3602189e-15   5.7780133e-18  -3.3836734e-37       4.6064598    0.0024722275  -1.6729875e-23     0.083216846      0.20040588   0.00032972384       44.828232
