#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   0.0048015152               0            0.05      -16.572532    -0.013536076               0       16291.928       18.082739               0               0               0               0               0               0               0   1.4102661e-15   6.9795228e-11        11601891
   0.0049115726               0            0.05      -15.998468    -0.012794926               0       16115.916       17.457352               0               0               0               0               0               0               0   1.3851667e-15   6.8656174e-11        11601891
   0.0050227778               0            0.05       -15.45028    -0.012089138               0       15944.189       16.859735               0               0               0               0               0               0               0   1.3612531e-15   6.7551098e-11        11601891
   0.0051351427               0            0.05      -14.927241    -0.011397217               0       15776.576       16.289979               0               0               0               0               0               0               0   1.3383919e-15   6.6478471e-11        11601891
   0.0052486795               0            0.05      -14.428383    -0.010761568               0       15612.907       15.746265               0               0               0               0               0               0               0   1.3165349e-15   6.5436798e-11        11601891
   0.0053634003               0            0.05       -13.95211     -0.01017485               0       15453.018       15.227285               0               0               0               0               0               0               0   1.2955666e-15   6.4424654e-11        11601891
   0.0054793176               0            0.05      -13.496879     -0.00964056               0        15296.76       14.730975               0               0               0               0               0               0               0   1.2754795e-15   6.3440747e-11        11601891
   0.0055964437               0            0.05      -13.060902   -0.0091530295               0       15143.993       14.255852               0               0               0               0               0               0               0   1.2561668e-15   6.2483851e-11        11601891
   0.0057147914               0            0.05      -12.642827   -0.0086875388               0       14994.592        13.79995               0               0               0               0               0               0               0    1.237644e-15    6.155289e-11        11601891
   0.0058343733               0            0.05      -12.242222   -0.0082261053               0       14848.441       13.363251               0               0               0               0               0               0               0   1.2198232e-15   6.0646832e-11        11601891
   0.0059552024               0            0.05      -11.858423   -0.0078074423               0       14705.415       12.944955               0               0               0               0               0               0               0   1.2026952e-15   5.9764628e-11        11601891
   0.0060772915               0            0.05      -11.490167    -0.007420094               0       14565.404        12.54347               0               0               0               0               0               0               0   1.1862325e-15   5.8905322e-11        11601891
    0.006200654               0            0.05      -11.136797   -0.0070518747               0       14428.304       12.158217               0               0               0               0               0               0               0   1.1703972e-15   5.8068024e-11        11601891
   0.0063253029               0            0.05      -10.797561   -0.0067134691               0        14294.01       11.788224               0               0               0               0               0               0               0   1.1551203e-15   5.7251863e-11        11601891
   0.0064512519               0            0.05      -10.471291   -0.0063951887               0       14162.429       11.432411               0               0               0               0               0               0               0   1.1403629e-15   5.6456042e-11        11601891
   0.0065785143               0            0.05      -10.157369   -0.0060866559               0       14033.476       11.090073               0               0               0               0               0               0               0    1.126076e-15    5.567983e-11        11601891
    0.006707104               0            0.05      -9.8555026   -0.0057882522               0       13907.064       10.760898               0               0               0               0               0               0               0   1.1122386e-15   5.4922511e-11        11601891
   0.0068370347               0            0.05      -9.5653708   -0.0055056732               0       13783.111        10.44447               0               0               0               0               0               0               0   1.0988232e-15   5.4183379e-11        11601891
   0.0069683205               0            0.05      -9.2864309   -0.0052390682               0       13661.533       10.140229               0               0               0               0               0               0               0   1.0858096e-15   5.3461749e-11        11601891
   0.0071009754               0            0.05      -9.0181922   -0.0049855181               0       13542.252       9.8475583               0               0               0               0               0               0               0   1.0731941e-15   5.2756975e-11        11601891
   0.0072350138               0            0.05      -8.7598849   -0.0047558519               0       13425.192       9.5659211               0               0               0               0               0               0               0   1.0609388e-15    5.206844e-11        11601891
   0.0073704501               0            0.05      -8.5106875   -0.0045515222               0       13310.286       9.2941124               0               0               0               0               0               0               0   1.0490731e-15   5.1395589e-11        11601891
   0.0075072989               0            0.05      -8.2701362   -0.0043526518               0       13197.473       9.0316312               0               0               0               0               0               0               0   1.0375339e-15   5.0737907e-11        11601891
   0.0076455748               0            0.05      -8.0377813   -0.0041584451               0       13086.694       8.7781327               0               0               0               0               0               0               0   1.0263751e-15   5.0094919e-11        11601891
   0.0077852928               0            0.05      -7.8136126   -0.0039664042               0       12977.894       8.5335536               0               0               0               0               0               0               0   1.0155279e-15   4.9466151e-11        11601891
    0.007926468               0            0.05      -7.5974446   -0.0037869747               0       12871.011       8.2977322               0               0               0               0               0               0               0   1.0050346e-15   4.8851114e-11        11601891
   0.0080691154               0            0.05      -7.3888466   -0.0036147456               0       12765.991       8.0700815               0               0               0               0               0               0               0   9.9485127e-16   4.8249361e-11        11601891
   0.0082132505               0            0.05      -7.1875423   -0.0034548407               0       12662.777       7.8505325               0               0               0               0               0               0               0   9.8497389e-16   4.7660439e-11        11601891
   0.0083588888               0            0.05      -6.9930228   -0.0033073225               0       12561.318        7.638224               0               0               0               0               0               0               0    9.754192e-16   4.7083943e-11        11601891
    0.008506046               0            0.05      -6.8048967   -0.0031690557               0       12461.567       7.4330185               0               0               0               0               0               0               0   9.6614527e-16   4.6519487e-11        11601891
   0.0086547378               0            0.05      -6.6228204   -0.0030420252               0       12363.479       7.2342067               0               0               0               0               0               0               0   9.5717791e-16   4.5966715e-11        11601891
   0.0088049804               0            0.05      -6.4463937    -0.002914168               0       12267.014       7.0416862               0               0               0               0               0               0               0   9.4847382e-16   4.5425294e-11        11601891
   0.0089567898               0            0.05      -6.2756545   -0.0027890009               0       12172.133       6.8553432               0               0               0               0               0               0               0   9.4008451e-16   4.4894906e-11        11601891
   0.0091101825               0            0.05      -6.1105428   -0.0026684206               0       12078.791       6.6751595               0               0               0               0               0               0               0   9.3194284e-16   4.4375206e-11        11601891
   0.0092651749               0            0.05      -5.9508341    -0.002554366               0       11986.951       6.5008375               0               0               0               0               0               0               0   9.2412429e-16   4.3865879e-11        11601891
   0.0094217836               0            0.05      -5.7963764   -0.0024452145               0        11896.57       6.3322117               0               0               0               0               0               0               0   9.1652838e-16   4.3366604e-11        11601891
   0.0095800257               0            0.05      -5.6467687   -0.0023450012               0       11807.611       6.1689644               0               0               0               0               0               0               0   9.0925604e-16   4.2877088e-11        11601891
   0.0097399181               0            0.05      -5.5018402   -0.0022490141               0       11720.038       6.0107665               0               0               0               0               0               0               0   9.0218902e-16   4.2397049e-11        11601891
    0.009901478               0            0.05      -5.3612738   -0.0021649387               0       11633.816       5.8574025               0               0               0               0               0               0               0    8.954189e-16   4.1926222e-11        11601891
    0.010064723               0            0.05      -5.2245775   -0.0020860757               0       11548.919       5.7081435               0               0               0               0               0               0               0   8.8888977e-16   4.1464378e-11        11601891
     0.01022967               0            0.05      -5.0919094   -0.0020025091               0        11465.32        5.563313               0               0               0               0               0               0               0   8.8258978e-16    4.101131e-11        11601891
    0.010396337               0            0.05      -4.9633045   -0.0019211808               0       11382.988       5.4228262               0               0               0               0               0               0               0   8.7652653e-16   4.0566771e-11        11601891
