#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   0.0086547378               0            0.05      -6.9200617   -0.0020783737  -3.7010275e-19        11763.37       2.7022784  -1.3454905e-17   2.8225445e-14   6.4839882e-18  -3.2248476e-35               0               0               0             0.1             0.1               0        11601891
   0.0088049804               0            0.05       -6.742956   -0.0019929886  -6.9276447e-21       11662.487       2.6335695  -2.7906668e-17   1.4137253e-13   3.1924076e-17  -3.3828533e-34               0               0               0             0.1             0.1               0        11601891
   0.0089567898               0            0.05      -6.5715115   -0.0019125773   8.1008594e-19       11563.153       2.5669884  -3.6859629e-18   2.8326091e-14    6.288314e-18  -9.0279003e-36               0               0               0             0.1             0.1               0        11601891
   0.0091101825               0            0.05      -6.4054668   -0.0018361381   8.7332095e-21       11465.325       2.5023955  -1.7456403e-17   2.8379382e-14   6.1940195e-18  -4.3208709e-35               0               0               0             0.1             0.1               0        11601891
   0.0092651749               0            0.05      -6.2446039   -0.0017621684    8.565996e-21       11368.968       2.4397518  -8.0108154e-18   2.8433771e-14    6.101777e-18  -2.0034656e-35               0               0               0             0.1             0.1               0        11601891
   0.0094217836               0            0.05      -6.0887534   -0.0016906672   7.1323118e-19       11274.042       2.3790171  -3.4538144e-18   2.8490453e-14   6.0119406e-18   -8.664961e-36               0               0               0             0.1             0.1               0        11601891
   0.0095800257               0            0.05      -5.9377573    -0.001621342   1.8886366e-19       11180.512       2.3201489   2.3574572e-17  -8.5647907e-14  -1.7773417e-17  -1.8059178e-34               0               0               0             0.1             0.1               0        11601891
   0.0097399181               0            0.05       -5.791442   -0.0015544692  -5.3195793e-19       11088.343       2.2631255   4.3768194e-18     2.62211e-19   7.0379524e-23   2.4084713e-38               0               0               0             0.1             0.1               0        11601891
    0.009901478               0            0.05       -5.649643   -0.0014903598   3.3177856e-19       10997.499       2.2078819   4.3276403e-18  -2.4805673e-19  -6.5436661e-23   1.4567275e-38               0               0               0             0.1             0.1               0        11601891
    0.010064723               0            0.05      -5.5121946   -0.0014288728   1.6421948e-19       10907.949       2.1543701   1.5077058e-17  -5.7467752e-14  -1.1350146e-17   -7.943241e-35               0               0               0             0.1             0.1               0        11601891
     0.01022967               0            0.05      -5.3789256   -0.0013707001   -1.708871e-19       10819.659       2.1025315   7.3909597e-18  -2.8798087e-14  -5.5961644e-18  -1.9658022e-35               0               0               0             0.1             0.1               0        11601891
    0.010396337               0            0.05      -5.2496387   -0.0013154409  -3.0796574e-19       10732.598       2.0522611  -9.6261316e-19  -2.8864506e-14  -5.5193867e-18   2.6022719e-36               0               0               0             0.1             0.1               0        11601891
    0.010564743               0            0.05      -5.1241498   -0.0012647963  -1.6041257e-19       10646.737       2.0035251  -7.2067026e-18   2.8932222e-14   5.4445132e-18  -1.9590924e-35               0               0               0             0.1             0.1               0        11601891
    0.010734905               0            0.05      -5.0022967   -0.0012161168   6.9716225e-21       10562.049       1.9560808   4.0128446e-18   2.0424851e-19   4.9655202e-23  -2.8465795e-40               0               0               0             0.1             0.1               0        11601891
    0.010906842               0            0.05      -4.8839357   -0.0011698282  -1.4290502e-19       10478.507       1.9100911    -1.10157e-17   2.9072115e-14   5.2994447e-18  -3.0568387e-35               0               0               0             0.1             0.1               0        11601891
    0.011080571               0            0.05      -4.7689715   -0.0011251295   1.4054169e-19       10396.086       1.8652713   4.8995039e-18   2.9144054e-14   5.2290195e-18   1.3746772e-35               0               0               0             0.1             0.1               0        11601891
